Location,Male Deaths,Female Deaths,Total Deaths,Cigarette Users,Hypertension,Obesity
Alabama,283,175.5,458.5,20900,41900,37100
Alaska,172.5,99.4,271.9,21000,31800,34700
Arizona,178.4,109.8,288.2,15600,30700,30100
Arkansas,277.8,178.9,456.7,22300,41300,36000
California,181.2,111.4,292.6,11300,28400,25700
Colorado,153.1,97.4,250.5,14600,25900,23100
Connecticut,178.5,113.4,291.9,12700,30500,27500
Delaware,197.1,127.3,324.4,17000,34900,32400
District of Columbia,243.5,149.2,392.7,14300,26700,23000
Florida,186.2,111.6,297.8,16100,34600,28900
Georgia,225.6,137.2,362.8,17500,33100,32500
Hawaii,176,90.6,266.6,12800,30600,24100
Idaho,203.4,127.5,330.9,14300,29800,29900
Illinois,208,128.3,336.3,15500,32200,32100
Indiana,235.7,141.9,377.6,21800,35200,34200
Iowa,213.6,131,344.6,17100,31500,37200
Kansas,198.4,125,323.4,17400,32800,33000
Kentucky,248.1,153.6,401.7,24600,39400,35100
Louisiana,271.5,169.6,441.1,23100,39000,36800
Maine,183.3,111.6,294.9,17300,34800,29800
Maryland,208.3,130.8,339.1,13800,32400,32000
Massachusetts,178.4,102.4,280.8,13700,28600,26700
Michigan,245.9,155.7,401.6,19300,34700,33300
Minnesota,155.8,89.5,245.3,14500,26600,29100
Mississippi,293.8,182.3,476.1,22200,40800,38000
Missouri,242.2,150.6,392.8,20800,32000,33200
Montana,194,121,315,17200,29000,25700
Nebraska,191.1,115.4,306.5,15400,30600,33400
Nevada,252.1,151.9,404,17600,32600,27400
New Hampshire,190,116.8,306.8,15700,30000,28800
New Jersey,207.3,128.2,335.5,13700,33000,27800
New Mexico,192.1,116.9,309,17500,30500,29100
New York,213.2,138.7,351.9,14100,29400,26400
North Carolina,202.2,121.4,323.6,17200,34700,32900
North Dakota,176.4,106.7,283.1,18300,29500,34100
Ohio,233.3,148.4,381.7,21100,34700,34400
Oklahoma,290.4,192.4,482.8,20100,37700,37100
Oregon,168.1,105.5,273.6,16100,30100,30000
Pennsylvania,223.4,139.3,362.7,18700,32600,32400
Rhode Island,198.2,124.3,322.5,14900,33100,30300
South Carolina,222.7,131,353.7,18800,38100,34500
South Dakota,190.8,115.9,306.7,19300,30800,32700
Tennessee,256.9,158.1,415,22600,38700,33500
Texas,215.3,131.5,346.8,15700,32500,33700
Utah,175.3,127.8,303.1,8900,24500,25900
Vermont,206.2,110,316.2,15800,30400,28200
Virginia,195.6,122.1,317.7,16400,32400,30500
Washington,178.4,106.1,284.5,13500,29500,28200
West Virginia,235.5,155.8,391.3,26000,43500,38700
Wisconsin,204.6,119.8,324.4,16000,30800,32200
Wyoming,190.3,114.4,304.7,18700,30800,29700
